00093e70	SetConnectionID__11cIPCO_TCPIPi	cIPCO_TCPIP::SetConnectionID(int)
00074a90	VLineAdd__9cGD_LFB32RCt6tPoint1ZlUlG6cColor	cGD_LFB32::VLineAdd(const tPoint<long> &, unsigned long, cColor)
00091e70	GetVolume__9cCD_Linux	cCD_Linux::GetVolume()
000957e0	Wait__5cTask	cTask::Wait()
000c71c8	__ti22cSoundCard_SoftwareMix	cSoundCard_SoftwareMix type_info node
0006f7f0	Line__9cGD_LFB24RCt6tPoint1ZlT1G6cColor	cGD_LFB24::Line(const tPoint<long> &, const tPoint<long> &, cColor)
000c71d8	__ti10cSoundCard	cSoundCard type_info node
00079ee0	__tf15cIPCBrowser_IPX	cIPCBrowser_IPX type_info function
00095830	__tf5cTask	cTask type_info function
0007a380	__17cIPCOStream2Block	cIPCOStream2Block::cIPCOStream2Block()
00052fe0	__9cEnvClassPCc	cEnvClass::cEnvClass(const char *)
00090350	__opt6tPoint1Zl__7sMCoord	sMCoord::operator tPoint<long>()
00049d60	Paint__11cVOPulldownR3cGDRCt6tPoint1ZlRC10cRectangle	cVOPulldown::Paint(cGD &, const tPoint<long> &, const cRectangle &)
00083440	GetDataSLEWSL__25cSoundChannel_SoftwareMix	cSoundChannel_SoftwareMix::GetDataSLEWSL()
000adbfc	__vt_19cEventManager_Linux	cEventManager_Linux virtual table
00095a30	Add__19cEventManager_LinuxPv	cEventManager_Linux::Add(void *)
000c727c	__ti11cGD_Minimal	cGD_Minimal type_info node
000808f0	Next__7cRandom	cRandom::Next()
0005ec90	__11cLibPointerPCc	cLibPointer::cLibPointer(const char *)
00095d50	__5cPipeii	cPipe::cPipe(int, int)
00085e20	SwapBuffers__4cVVC	cVVC::SwapBuffers()
000af1a0	__vt_10cVODragBox	cVODragBox virtual table
00078d70	IsGaranteed__5cIPCO	cIPCO::IsGaranteed()
00092060	_GLOBAL_.D.__ls__C10Log_StdoutPCc	Log_Stdout::_GLOBAL_.D.__ls(const char *) const
00078790	VLineAlfa__8cGD_SFB8RCt6tPoint1ZlUlG6cColor	cGD_SFB8::VLineAlfa(const tPoint<long> &, unsigned long, cColor)
0005edc0	GetLength__C6cHList	cHList::GetLength() const
000c7168	__ti12cVOMultiLine	cVOMultiLine type_info node
0009b254	__vt_13cAnimSkeleton.t9tMemBlock1ZUc	cAnimSkeleton virtual table (base tMemBlock<unsigned char>)
00082590	SetMasterVolume__6cMixerRC7cVolume	cMixer::SetMasterVolume(const cVolume &)
0005f380	GetLast__C5cList	cList::GetLast() const
0007bc40	PushObject__11cMemoryPipePCvUl	cMemoryPipe::PushObject(const void *, unsigned long)
00055240	__9cTextFilePCc	cTextFile::cTextFile(const char *)
00050490	__18cSharedData_BitmapPCc	cSharedData_Bitmap::cSharedData_Bitmap(const char *)
0004fa20	_._13cData_MapItem	cData_MapItem::~cData_MapItem()
00082860	Play__19cSoundServerChannelR3cAO	cSoundServerChannel::Play(cAO &)
000573f0	GetDataAddr__13sFLC_FrameSS2	sFLC_FrameSS2::GetDataAddr()
0007a2c0	Disconnect__17cIPCOStream2Block	cIPCOStream2Block::Disconnect()
00077770	PutBitmap_I__8cGD_SFB8R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_SFB8::PutBitmap_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
00098470	Write__8cProcessPCvUl	cProcess::Write(const void *, unsigned long)
000531d0	__tf16cEvent_Forwarder	cEvent_Forwarder type_info function
000943c0	IsModemAvailable__16cIPCSystem_Linux	cIPCSystem_Linux::IsModemAvailable()
00078870	PutBitmapAdd_I__8cGD_SFB8R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_SFB8::PutBitmapAdd_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
000c6ecc	__tit5tNode1Z7cEnvVar	tNode<cEnvVar> type_info node
000922c0	__3HEXUl	HEX::HEX(unsigned long)
0007b8c0	GetAddress__C10cMemBlock_	cMemBlock_::GetAddress() const
00052490	SetStatus__10cVOEditRow10eER_Status	cVOEditRow::SetStatus(eER_Status)
000c72a8	__tit5tNode1Z7cSprite	tNode<cSprite> type_info node
00077690	CalcAddr__9cGD_SFB16RCt6tPoint1Zl	cGD_SFB16::CalcAddr(const tPoint<long> &)
000a7160	__vt_8cPalette	cPalette virtual table
000aca40	__vt_11cIPCO_TCPIP	cIPCO_TCPIP virtual table
000aca18	__vt_17cIPCSession_TCPIP	cIPCSession_TCPIP virtual table
000a80c0	__vt_16cSoundCard_Dummy	cSoundCard_Dummy virtual table
0007b5c0	Construct__9cMemBlockUl	cMemBlock::Construct(unsigned long)
00057470	Paint__15sFLC_FrameBlackR3cGDRC10cRectangle	sFLC_FrameBlack::Paint(cGD &, const cRectangle &)
00090280	__10sVOMessageP8cVObjectUl	sVOMessage::sVOMessage(cVObject *, unsigned long)
00065bc0	CalcModulo__9cGD_LFB15Ul	cGD_LFB15::CalcModulo(unsigned long)
0005fad0	VM_GetLocaleDataBase__Fv	VM_GetLocaleDataBase()
00071590	PutBitmapSub_I__9cGD_LFB32R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB32::PutBitmapSub_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
0007fbf0	__8cPaletteUl	cPalette::cPalette(unsigned long)
00052420	GetFontOffset__10cVOEditRow	cVOEditRow::GetFontOffset()
0008afd0	Clip__FR10cRectangleRt6tPoint1ZlRC10cRectangle	Clip(cRectangle &, tPoint<long> &, const cRectangle &)
000925c0	_DeactivateTimer__18cTimerSystem_LinuxR7cVTimer	cTimerSystem_Linux::_DeactivateTimer(cVTimer &)
000514f0	ShowCursor__10cVOEditRowR3cGDRCt6tPoint1ZlRC10cRectangle	cVOEditRow::ShowCursor(cGD &, const tPoint<long> &, const cRectangle &)
0008ef50	GetMasterVO__10cIntuition	cIntuition::GetMasterVO()
0007ec20	_GLOBAL_.I.__8cPaletteRC8cPalette	cPalette::_GLOBAL_.I.(const cPalette &)
000980f0	Paint__10cVODragBoxR3cGDRCt6tPoint1ZlRC10cRectangle	cVODragBox::Paint(cGD &, const tPoint<long> &, const cRectangle &)
0005ea10	LFB8_PutBitmapC1_AMask	LFB8_PutBitmapC1_AMask
00085ce0	OpenDisplay__4cVVCRC13cVModeRequest	cVVC::OpenDisplay(const cVModeRequest &)
000af01c	__vt_7cBitmap	cBitmap virtual table
000a7200	__vt_4cVCD	cVCD virtual table
000c6ddc	__ti7cVTimer	cVTimer type_info node
00053f10	HandleCancel__8cVOFiler	cVOFiler::HandleCancel()
000848d0	__10cOldStringPCcUl	cOldString::cOldString(const char *, unsigned long)
0005b6d0	_._19cHeap_Compatibility	cHeap_Compatibility::~cHeap_Compatibility()
0004d9d0	MakeAnimBitmap__15LastChance_SPR0R11cAnimBitmapUl	LastChance_SPR0::MakeAnimBitmap(cAnimBitmap &, unsigned long)
0008c8a0	_._9cSprClick	cSprClick::~cSprClick()
00045910	__10cVOAButtonRC10cRectangleRC6cColorR5cFontPCc23eVOAButtonTextAlignmentbN26UsP8cVObject	cVOAButton::cVOAButton(const cRectangle &, const cColor &, cFont &, const char *, eVOAButtonTextAlignment, bool, bool, bool, unsigned short, cVObject *)
000988b0	__tf10cRectangle	cRectangle type_info function
000863d0	TileAlfa__3cGDRC10cRectangleR7cBitmapT1	cGD::TileAlfa(const cRectangle &, cBitmap &, const cRectangle &)
00093e10	__tf17cIPCSession_TCPIP	cIPCSession_TCPIP type_info function
0007b070	Sequence__C12cKeySequence	cKeySequence::Sequence() const
0005fb30	GetText__12cLocaleEntry	cLocaleEntry::GetText()
0006bb80	__tf9cGD_LFB16	cGD_LFB16 type_info function
000a0550	__vt_11cLibPointer	cLibPointer virtual table
00048200	__10cVOListReqRC10cRectangleUlR7cBitmapR5cFontPPCc	cVOListReq::cVOListReq(const cRectangle &, unsigned long, cBitmap &, cFont &, const char **)
000c6f8c	__ti5cFont	cFont type_info node
00057310	GetFirst__10sFLC_Frame	sFLC_Frame::GetFirst()
000924f0	_._18cTimerSystem_Linux	cTimerSystem_Linux::~cTimerSystem_Linux()
0008b1d0	SaveBg__7cSpriteR3cGDRQ27cSprite3cBg	cSprite::SaveBg(cGD &, cSprite::cBg &)
0004c200	Cmp__7cDirentR7cDirent	cDirent::Cmp(cDirent &)
000c6f24	__ti8cFFilter	cFFilter type_info node
000516f0	__as__10cVOEditRowPCc	cVOEditRow::operator=(const char *)
000c6f18	__ti24cCompatibilityFileSystem	cCompatibilityFileSystem type_info node
00071e10	PutBitmapAMask_I__9cGD_LFB32R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB32::PutBitmapAMask_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
0008fff0	RefreshDone__8cVObject	cVObject::RefreshDone()
000c7140	__ti9cKeyboard	cKeyboard type_info node
000987e0	Process__7cSprite	cSprite::Process()
0007ff30	ChangeIntensity__6cColorf	cColor::ChangeIntensity(float)
00092960	IsRootDir__11cDirentnamePCc	cDirentname::IsRootDir(const char *)
0004b7a0	SetFrame__11cAnimBitmapUlUlRC10cRectangle	cAnimBitmap::SetFrame(unsigned long, unsigned long, const cRectangle &)
000c7328	__ti3Log	Log type_info node
00090e80	Floor__6DOUBLE	DOUBLE::Floor()
00095c50	Lock__10cSemaphore	cSemaphore::Lock()
00082620	SetMasterVolume__16cSoundCard_DummyRC7cVolume	cSoundCard_Dummy::SetMasterVolume(const cVolume &)
0005d0c0	LFB16_PutBitmap32	LFB16_PutBitmap32
00096d20	__tft5tNode1Z9cEnvClass	tNode<cEnvClass> type_info function
00099884	__vt_10cVOConsole	cVOConsole virtual table
00096cf0	__t5tList1Z7cEnvVar	tList<cEnvVar>::tList()
00074c50	CalcAddr__9cGD_LFB32RCt6tPoint1Zl	cGD_LFB32::CalcAddr(const tPoint<long> &)
000824e0	GetBufferItemLength__6cMixer	cMixer::GetBufferItemLength()
0008f3d0	AddVObject__7cScreenP8cVObjectb	cScreen::AddVObject(cVObject *, bool)
00077610	PutBitmapAdd_I__9cGD_SFB16R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_SFB16::PutBitmapAdd_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
0004bde0	ReOpen__10cDirectoryR7cDirent	cDirectory::ReOpen(cDirent &)
000987d0	Init__7cSprite	cSprite::Init()
0008a9a0	PutBitmapLMask__3cGDR7cBitmapT1RCt6tPoint1ZlRC10cRectangleP12cPaletteFull	cGD::PutBitmapLMask(cBitmap &, cBitmap &, const tPoint<long> &, const cRectangle &, cPaletteFull *)
000a0846	LDBRET_Broken	LDBRET_Broken
0005d450	LFB24_Fill	LFB24_Fill
0007fdd0	GetIntensity__C6cColorf	cColor::GetIntensity(float) const
00076910	PutAnimBitmap_I__9cGD_SFB16R11cAnimBitmapUlRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_SFB16::PutAnimBitmap_I(cAnimBitmap &, unsigned long, const cRectangle &, const tPoint<long> &, cPaletteFull *)
00074960	PutPixel__9cGD_LFB32RCt6tPoint1ZlG6cColor	cGD_LFB32::PutPixel(const tPoint<long> &, cColor)
00094350	IsSerialAvailable__16cIPCSystem_Linux	cIPCSystem_Linux::IsSerialAvailable()
0005f3a0	GetFirst__C5cList	cList::GetFirst() const
00095bd0	__10cSemaphoreUlb	cSemaphore::cSemaphore(unsigned long, bool)
000877c0	SetPalette__4cVVCPC6cColorUsUs	cVVC::SetPalette(const cColor *, unsigned short, unsigned short)
00053c70	Select__8cVOFilerR7cDirent	cVOFiler::Select(cDirent &)
0008ea10	_GLOBAL_.I.Intuition	_GLOBAL_.I.Intuition
00087c30	VLine__11cGD_MinimalRCt6tPoint1ZlUlG6cColor	cGD_Minimal::VLine(const tPoint<long> &, unsigned long, cColor)
00042e30	Process__8cConsolePCc	cConsole::Process(const char *)
00047ab0	RedbookRequired__12cApplication	cApplication::RedbookRequired()
00090010	NeedRefresh__8cVObject	cVObject::NeedRefresh()
00043320	EchoIsOn__C6cShell	cShell::EchoIsOn() const
0004fc20	__tf16cData_AnimBitmap	cData_AnimBitmap type_info function
000659b0	HLineSub__9cGD_LFB15RCt6tPoint1ZlUlG6cColor	cGD_LFB15::HLineSub(const tPoint<long> &, unsigned long, cColor)
000788b0	Line__8cGD_SFB8RCt6tPoint1ZlT1G6cColor	cGD_SFB8::Line(const tPoint<long> &, const tPoint<long> &, cColor)
000af220	__vt_10cSoundPlay	cSoundPlay virtual table
00078a20	Broadcast__10cIPCServerG3PTRUlbT3	cIPCServer::Broadcast(PTR, unsigned long, bool, bool)
00088560	PutAnimBitmapSub__3cGDR11cAnimBitmapUlRCt6tPoint1ZlP12cPaletteFull	cGD::PutAnimBitmapSub(cAnimBitmap &, unsigned long, const tPoint<long> &, cPaletteFull *)
000af10c	__vt_11cIPCSession	cIPCSession virtual table
0005c800	LFB16_HLineSub	LFB16_HLineSub
0005c4e0	LFB16_PutBitmap	LFB16_PutBitmap
0005b600	IsSeemsGood__10cHeapBlockUl	cHeapBlock::IsSeemsGood(unsigned long)
00077550	HLineAlfa__9cGD_SFB16RCt6tPoint1ZlUlG6cColor	cGD_SFB16::HLineAlfa(const tPoint<long> &, unsigned long, cColor)
00095190	Fatal__FPc	Fatal(char *)
00083bf0	__13cSoundConvert	cSoundConvert::cSoundConvert()
00080410	EVENT_Buttons__8cPointerUc	cPointer::EVENT_Buttons(unsigned char)
0007b500	Lock__9cMemBlock	cMemBlock::Lock()
0004e240	__16cData_AnimBitmapPCcb	cData_AnimBitmap::cData_AnimBitmap(const char *, bool)
0009d594	__vt_16cEvent_Forwarder	cEvent_Forwarder virtual table
0007a2e0	SetBlockMode__17cIPCOStream2Blockb	cIPCOStream2Block::SetBlockMode(bool)
0006b970	VLineSub__9cGD_LFB16RCt6tPoint1ZlUlG6cColor	cGD_LFB16::VLineSub(const tPoint<long> &, unsigned long, cColor)
00095db0	Close__5cPipe	cPipe::Close()
00087cf0	Fill_I__11cGD_MinimalG6cColorRC10cRectangle	cGD_Minimal::Fill_I(cColor, const cRectangle &)
0007bdc0	PullObject__11cMemoryPipePvUl	cMemoryPipe::PullObject(void *, unsigned long)
00048020	__10cVOListReqRCt6tPoint1ZlR7cBitmapR5cFontPPCc	cVOListReq::cVOListReq(const tPoint<long> &, cBitmap &, cFont &, const char **)
00093d80	__tf17cIPCBrowser_TCPIP	cIPCBrowser_TCPIP type_info function
000c5f40	CC_LOWER	CC_LOWER
00043c90	ShiftRight__11cLineEditor	cLineEditor::ShiftRight()
0004b800	__tf11cAnimBitmap	cAnimBitmap type_info function
0006e1e0	PutAnimBitmapLMask_I__9cGD_LFB24R11cAnimBitmapUlR7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB24::PutAnimBitmapLMask_I(cAnimBitmap &, unsigned long, cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
000532d0	Close__24cCompatibilityFileSystem	cCompatibilityFileSystem::Close()
00075d20	FillAdd__8cGD_LFB8G6cColorRC10cRectangle	cGD_LFB8::FillAdd(cColor, const cRectangle &)
00082a80	Notify__19cSoundServerChannel18eSoundChannelEvent	cSoundServerChannel::Notify(eSoundChannelEvent)
0007f2a0	GetPalette__12cPaletteFull	cPaletteFull::GetPalette()
0005faf0	GetFileName__12cLocaleEntry	cLocaleEntry::GetFileName()
00091bf0	SVGALIB_Init__Fv	SVGALIB_Init()
000c72cc	__ti8cVObject	cVObject type_info node
0007bd00	Pull__11cMemoryPipePvUl	cMemoryPipe::Pull(void *, unsigned long)
00083610	InterpolateRight__25cSoundChannel_SoftwareMixss	cSoundChannel_SoftwareMix::InterpolateRight(short, short)
000a5c40	__vt_5cIPCO	cIPCO virtual table
000657a0	PutPixel__9cGD_LFB15RCt6tPoint1ZlG6cColor	cGD_LFB15::PutPixel(const tPoint<long> &, cColor)
00052860	InputChFilter__8cEditRowc	cEditRow::InputChFilter(char)
00050500	__tf18cSharedData_Bitmap	cSharedData_Bitmap type_info function
00057300	GetNext__10sFLC_Frame	sFLC_Frame::GetNext()
00079e50	Refresh__15cIPCBrowser_IPX	cIPCBrowser_IPX::Refresh()
000789b0	_._8cGD_SFB8	cGD_SFB8::~cGD_SFB8()
000789d0	__11cIPCSessionPCc	cIPCSession::cIPCSession(const char *)
000988f0	__tft6tPoint1Zl	tPoint<long> type_info function
00084bc0	_._10cOldString	cOldString::~cOldString()
000807d0	Rnd__7cRandom	cRandom::Rnd()
00087c10	HLineAdd__11cGD_MinimalRCt6tPoint1ZlUlG6cColor	cGD_Minimal::HLineAdd(const tPoint<long> &, unsigned long, cColor)
00082f00	GetPriority__3cAO	cAO::GetPriority()
000a7238	_7cRandom.A	_7cRandom.A
00097450	Grab__6cMouse	cMouse::Grab()
00096950	Filter__5sSPR1	sSPR1::Filter()
000856b0	GetTypeIndex__11cMsgRecNode	cMsgRecNode::GetTypeIndex()
00098c40	__tf8cThread_	cThread_ type_info function
0008fba0	Remove__8cVObject	cVObject::Remove()
