	Create__22cSharedData_AnimBitmapPCcb	cSharedData_AnimBitmap::Create(const char *, bool)
	CreateDPal__10cVOAButton	cVOAButton::CreateDPal()
	CreateGD__7cBitmap	cBitmap::CreateGD()
	Delete__22cSharedData_AnimBitmapP22cSharedData_AnimBitmap	cSharedData_AnimBitmap::Delete(cSharedData_AnimBitmap *)
	DeleteChildren__6cHNode	cHNode::DeleteChildren()
	Edit__10cVOConsole	cVOConsole::Edit()
	EndRefresh__7cScreen	cScreen::EndRefresh()
	Equal__12cKeySequencePCc	cKeySequence::Equal(const char *)
	exit	exit
	External_PlayAnim__FPCcT0RC10cRectangle	External_PlayAnim(const char *, const char *, const cRectangle &)
	Fatal__FPc	Fatal(char *)
	fclose	fclose
	fflush	fflush
	FindClass__10cEnvSystemPCc	cEnvSystem::FindClass(const char *)
	FindVariable__9cEnvClassPCc	cEnvClass::FindVariable(const char *)
	fopen	fopen
	fprintf	fprintf
	Frame__3cGDRC10cRectangleG6cColorT1	cGD::Frame(const cRectangle &, cColor, const cRectangle &)
	FrameAlpha__3cGDRC10cRectangleUlG6cColorbT1	cGD::FrameAlpha(const cRectangle &, unsigned long, cColor, bool, const cRectangle &)
	free	free
	Free__13cAnimSkeletonUl	cAnimSkeleton::Free(unsigned long)
	Free__9cMemBlock	cMemBlock::Free()
	GetBoundingBox__11cAnimBitmap	cAnimBitmap::GetBoundingBox()
	GetHelpText__8cVObject	cVObject::GetHelpText()
	GetIMouseButtons__10cIntuition	cIntuition::GetIMouseButtons()
	GetPalette__11cAnimBitmapUl	cAnimBitmap::GetPalette(unsigned long)
	GetPosition__5cFile	cFile::GetPosition()
	GetRelPointerPos__8cVObject	cVObject::GetRelPointerPos()
	GetTextLength__FR5cFontPCc	GetTextLength(cFont &, const char *)
	GetValue__7cEnvVari	cEnvVar::GetValue(int)
	Goto__9cTextFilei	cTextFile::Goto(int)
	Hide__10cVOConsole	cVOConsole::Hide()
	HLine___3cGDRCt6tPoint1ZllG6cColorRC10cRectangle	cGD::HLine_(const tPoint<long> &, long, cColor, const cRectangle &)
	IdentifyFileSystem__FPCc	IdentifyFileSystem(const char *)
	Initialize__10cVOAButton	cVOAButton::Initialize()
	Initialize__8cVObject	cVObject::Initialize()
	InitTree__8cVObject	cVObject::InitTree()
	IsBlockMode__5cFile	cFile::IsBlockMode()
	IsFileName__12cLocaleEntry	cLocaleEntry::IsFileName()
	IsGottaRemove__8cVObject	cVObject::IsGottaRemove()
	IsInFocus__8cVObject	cVObject::IsInFocus()
	IsLinked__C5cNode	cNode::IsLinked() const
	IsOpen__C5cFile	cFile::IsOpen() const
	IsValid__10cMemBlock_	cMemBlock_::IsValid()
	Kill__7cThread	cThread::Kill()
	Launch__7cThread	cThread::Launch()
	Load__15cLocaleDataBasePCcb	cLocaleDataBase::Load(const char *, bool)
	Load__5cFileb	cFile::Load(bool)
	Lock__10cSemaphore	cSemaphore::Lock()
	main	main
	malloc	malloc
